parameter,date,value,Ticker,Company,Type,Financial Type,Created Date
Revenue,2019-12-31,280522.00000,AMZN,amazon,income-statement,A,03-16-2020
Revenue,2018-12-31,232887.00000,AMZN,amazon,income-statement,A,03-16-2020
Revenue,2017-12-31,177866.00000,AMZN,amazon,income-statement,A,03-16-2020
Revenue,2016-12-31,135987.00000,AMZN,amazon,income-statement,A,03-16-2020
Revenue,2015-12-31,107006.00000,AMZN,amazon,income-statement,A,03-16-2020
Revenue,2014-12-31,88988.00000,AMZN,amazon,income-statement,A,03-16-2020
Revenue,2013-12-31,74452.00000,AMZN,amazon,income-statement,A,03-16-2020
Revenue,2012-12-31,61093.00000,AMZN,amazon,income-statement,A,03-16-2020
Revenue,2011-12-31,48077.00000,AMZN,amazon,income-statement,A,03-16-2020
Revenue,2010-12-31,34204.00000,AMZN,amazon,income-statement,A,03-16-2020
Revenue,2009-12-31,24509.00000,AMZN,amazon,income-statement,A,03-16-2020
Revenue,2008-12-31,19166.00000,AMZN,amazon,income-statement,A,03-16-2020
Revenue,2007-12-31,14835.00000,AMZN,amazon,income-statement,A,03-16-2020
Revenue,2006-12-31,10711.00000,AMZN,amazon,income-statement,A,03-16-2020
Revenue,2005-12-31,8490.00000,AMZN,amazon,income-statement,A,03-16-2020
Cost Of Goods Sold,2019-12-31,165536.00000,AMZN,amazon,income-statement,A,03-16-2020
Cost Of Goods Sold,2018-12-31,139156.00000,AMZN,amazon,income-statement,A,03-16-2020
Cost Of Goods Sold,2017-12-31,111934.00000,AMZN,amazon,income-statement,A,03-16-2020
Cost Of Goods Sold,2016-12-31,88265.00000,AMZN,amazon,income-statement,A,03-16-2020
Cost Of Goods Sold,2015-12-31,71651.00000,AMZN,amazon,income-statement,A,03-16-2020
Cost Of Goods Sold,2014-12-31,62752.00000,AMZN,amazon,income-statement,A,03-16-2020
Cost Of Goods Sold,2013-12-31,54181.00000,AMZN,amazon,income-statement,A,03-16-2020
Cost Of Goods Sold,2012-12-31,45971.00000,AMZN,amazon,income-statement,A,03-16-2020
Cost Of Goods Sold,2011-12-31,37288.00000,AMZN,amazon,income-statement,A,03-16-2020
Cost Of Goods Sold,2010-12-31,26561.00000,AMZN,amazon,income-statement,A,03-16-2020
Cost Of Goods Sold,2009-12-31,18978.00000,AMZN,amazon,income-statement,A,03-16-2020
Cost Of Goods Sold,2008-12-31,14896.00000,AMZN,amazon,income-statement,A,03-16-2020
Cost Of Goods Sold,2007-12-31,11482.00000,AMZN,amazon,income-statement,A,03-16-2020
Cost Of Goods Sold,2006-12-31,8255.00000,AMZN,amazon,income-statement,A,03-16-2020
Cost Of Goods Sold,2005-12-31,6451.00000,AMZN,amazon,income-statement,A,03-16-2020
Gross Profit,2019-12-31,114986.00000,AMZN,amazon,income-statement,A,03-16-2020
Gross Profit,2018-12-31,93731.00000,AMZN,amazon,income-statement,A,03-16-2020
Gross Profit,2017-12-31,65932.00000,AMZN,amazon,income-statement,A,03-16-2020
Gross Profit,2016-12-31,47722.00000,AMZN,amazon,income-statement,A,03-16-2020
Gross Profit,2015-12-31,35355.00000,AMZN,amazon,income-statement,A,03-16-2020
Gross Profit,2014-12-31,26236.00000,AMZN,amazon,income-statement,A,03-16-2020
Gross Profit,2013-12-31,20271.00000,AMZN,amazon,income-statement,A,03-16-2020
Gross Profit,2012-12-31,15122.00000,AMZN,amazon,income-statement,A,03-16-2020
Gross Profit,2011-12-31,10789.00000,AMZN,amazon,income-statement,A,03-16-2020
Gross Profit,2010-12-31,7643.00000,AMZN,amazon,income-statement,A,03-16-2020
Gross Profit,2009-12-31,5531.00000,AMZN,amazon,income-statement,A,03-16-2020
Gross Profit,2008-12-31,4270.00000,AMZN,amazon,income-statement,A,03-16-2020
Gross Profit,2007-12-31,3353.00000,AMZN,amazon,income-statement,A,03-16-2020
Gross Profit,2006-12-31,2456.00000,AMZN,amazon,income-statement,A,03-16-2020
Gross Profit,2005-12-31,2039.00000,AMZN,amazon,income-statement,A,03-16-2020
Research And Development Expenses,2019-12-31,35931.00000,AMZN,amazon,income-statement,A,03-16-2020
Research And Development Expenses,2018-12-31,28837.00000,AMZN,amazon,income-statement,A,03-16-2020
Research And Development Expenses,2017-12-31,22620.00000,AMZN,amazon,income-statement,A,03-16-2020
Research And Development Expenses,2016-12-31,16085.00000,AMZN,amazon,income-statement,A,03-16-2020
Research And Development Expenses,2015-12-31,12540.00000,AMZN,amazon,income-statement,A,03-16-2020
Research And Development Expenses,2014-12-31,9275.00000,AMZN,amazon,income-statement,A,03-16-2020
Research And Development Expenses,2013-12-31,6565.00000,AMZN,amazon,income-statement,A,03-16-2020
Research And Development Expenses,2012-12-31,4564.00000,AMZN,amazon,income-statement,A,03-16-2020
Research And Development Expenses,2011-12-31,2909.00000,AMZN,amazon,income-statement,A,03-16-2020
Research And Development Expenses,2010-12-31,1734.00000,AMZN,amazon,income-statement,A,03-16-2020
Research And Development Expenses,2009-12-31,1240.00000,AMZN,amazon,income-statement,A,03-16-2020
Research And Development Expenses,2008-12-31,1033.00000,AMZN,amazon,income-statement,A,03-16-2020
Research And Development Expenses,2007-12-31,818.00000,AMZN,amazon,income-statement,A,03-16-2020
Research And Development Expenses,2006-12-31,662.00000,AMZN,amazon,income-statement,A,03-16-2020
