parameter,date,value,Ticker,Company,Type,Financial Type,Created Date
Revenue,2019-03-31,56152.00000,BABA,alibaba,income-statement,A,03-16-2020
Revenue,2018-03-31,39898.00000,BABA,alibaba,income-statement,A,03-16-2020
Revenue,2017-03-31,22994.00000,BABA,alibaba,income-statement,A,03-16-2020
Revenue,2016-03-31,15686.00000,BABA,alibaba,income-statement,A,03-16-2020
Revenue,2015-03-31,12293.00000,BABA,alibaba,income-statement,A,03-16-2020
Revenue,2014-03-31,8463.00000,BABA,alibaba,income-statement,A,03-16-2020
Revenue,2013-03-31,5553.00000,BABA,alibaba,income-statement,A,03-16-2020
Revenue,2012-03-31,3135.91500,BABA,alibaba,income-statement,A,03-16-2020
Revenue,2011-03-31,1777.11800,BABA,alibaba,income-statement,A,03-16-2020
Revenue,2010-03-31,977.82200,BABA,alibaba,income-statement,A,03-16-2020
Cost Of Goods Sold,2019-03-31,30833.00000,BABA,alibaba,income-statement,A,03-16-2020
Cost Of Goods Sold,2018-03-31,17065.00000,BABA,alibaba,income-statement,A,03-16-2020
Cost Of Goods Sold,2017-03-31,8642.00000,BABA,alibaba,income-statement,A,03-16-2020
Cost Of Goods Sold,2016-03-31,5328.00000,BABA,alibaba,income-statement,A,03-16-2020
Cost Of Goods Sold,2015-03-31,3845.00000,BABA,alibaba,income-statement,A,03-16-2020
Cost Of Goods Sold,2014-03-31,2155.00000,BABA,alibaba,income-statement,A,03-16-2020
Cost Of Goods Sold,2013-03-31,1563.00000,BABA,alibaba,income-statement,A,03-16-2020
Cost Of Goods Sold,2012-03-31,1026.35600,BABA,alibaba,income-statement,A,03-16-2020
Cost Of Goods Sold,2011-03-31,522.10210,BABA,alibaba,income-statement,A,03-16-2020
Cost Of Goods Sold,2010-03-31,239.54440,BABA,alibaba,income-statement,A,03-16-2020
Gross Profit,2019-03-31,25319.00000,BABA,alibaba,income-statement,A,03-16-2020
Gross Profit,2018-03-31,22833.00000,BABA,alibaba,income-statement,A,03-16-2020
Gross Profit,2017-03-31,14352.00000,BABA,alibaba,income-statement,A,03-16-2020
Gross Profit,2016-03-31,10358.00000,BABA,alibaba,income-statement,A,03-16-2020
Gross Profit,2015-03-31,8448.00000,BABA,alibaba,income-statement,A,03-16-2020
Gross Profit,2014-03-31,6308.00000,BABA,alibaba,income-statement,A,03-16-2020
Gross Profit,2013-03-31,3990.00000,BABA,alibaba,income-statement,A,03-16-2020
Gross Profit,2012-03-31,2109.55900,BABA,alibaba,income-statement,A,03-16-2020
Gross Profit,2011-03-31,1255.01600,BABA,alibaba,income-statement,A,03-16-2020
Gross Profit,2010-03-31,738.27760,BABA,alibaba,income-statement,A,03-16-2020
Research And Development Expenses,2019-03-31,5578.00000,BABA,alibaba,income-statement,A,03-16-2020
Research And Development Expenses,2018-03-31,3628.00000,BABA,alibaba,income-statement,A,03-16-2020
Research And Development Expenses,2017-03-31,2479.00000,BABA,alibaba,income-statement,A,03-16-2020
Research And Development Expenses,2016-03-31,2138.00000,BABA,alibaba,income-statement,A,03-16-2020
