parameter,date,value,Ticker,Company,Type,Financial Type,Created Date
Revenue,2019-12-31,161857.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Revenue,2018-12-31,136819.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Revenue,2017-12-31,110855.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Revenue,2016-12-31,90272.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Revenue,2015-12-31,74989.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Revenue,2014-12-31,66001.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Revenue,2013-12-31,55519.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Revenue,2012-12-31,46039.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Revenue,2011-12-31,37905.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Revenue,2010-12-31,29321.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Revenue,2009-12-31,23651.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Revenue,2008-12-31,21796.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Revenue,2007-12-31,16593.99000,GOOGL,alphabet,income-statement,A,03-16-2020
Revenue,2006-12-31,10604.92000,GOOGL,alphabet,income-statement,A,03-16-2020
Revenue,2005-12-31,6138.56000,GOOGL,alphabet,income-statement,A,03-16-2020
Cost Of Goods Sold,2019-12-31,71896.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Cost Of Goods Sold,2018-12-31,59549.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Cost Of Goods Sold,2017-12-31,45583.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Cost Of Goods Sold,2016-12-31,35138.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Cost Of Goods Sold,2015-12-31,28164.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Cost Of Goods Sold,2014-12-31,25691.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Cost Of Goods Sold,2013-12-31,21993.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Cost Of Goods Sold,2012-12-31,17176.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Cost Of Goods Sold,2011-12-31,13188.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Cost Of Goods Sold,2010-12-31,10417.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Cost Of Goods Sold,2009-12-31,8844.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Cost Of Goods Sold,2008-12-31,8622.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Cost Of Goods Sold,2007-12-31,6649.08500,GOOGL,alphabet,income-statement,A,03-16-2020
Cost Of Goods Sold,2006-12-31,4225.02700,GOOGL,alphabet,income-statement,A,03-16-2020
Cost Of Goods Sold,2005-12-31,2577.08800,GOOGL,alphabet,income-statement,A,03-16-2020
Gross Profit,2019-12-31,89961.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Gross Profit,2018-12-31,77270.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Gross Profit,2017-12-31,65272.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Gross Profit,2016-12-31,55134.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Gross Profit,2015-12-31,46825.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Gross Profit,2014-12-31,40310.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Gross Profit,2013-12-31,33526.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Gross Profit,2012-12-31,28863.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Gross Profit,2011-12-31,24717.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Gross Profit,2010-12-31,18904.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Gross Profit,2009-12-31,14807.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Gross Profit,2008-12-31,13174.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Gross Profit,2007-12-31,9944.90100,GOOGL,alphabet,income-statement,A,03-16-2020
Gross Profit,2006-12-31,6379.89300,GOOGL,alphabet,income-statement,A,03-16-2020
Gross Profit,2005-12-31,3561.47200,GOOGL,alphabet,income-statement,A,03-16-2020
Research And Development Expenses,2019-12-31,26018.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Research And Development Expenses,2018-12-31,21419.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Research And Development Expenses,2017-12-31,16625.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Research And Development Expenses,2016-12-31,13948.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Research And Development Expenses,2015-12-31,12282.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Research And Development Expenses,2014-12-31,9832.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Research And Development Expenses,2013-12-31,7137.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Research And Development Expenses,2012-12-31,6083.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Research And Development Expenses,2011-12-31,5162.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Research And Development Expenses,2010-12-31,3762.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Research And Development Expenses,2009-12-31,2843.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Research And Development Expenses,2008-12-31,2793.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Research And Development Expenses,2007-12-31,2119.98500,GOOGL,alphabet,income-statement,A,03-16-2020
Research And Development Expenses,2006-12-31,1228.58900,GOOGL,alphabet,income-statement,A,03-16-2020
Research And Development Expenses,2005-12-31,599.51000,GOOGL,alphabet,income-statement,A,03-16-2020
SG&A Expenses,2019-12-31,28015.00000,GOOGL,alphabet,income-statement,A,03-16-2020
SG&A Expenses,2018-12-31,23256.00000,GOOGL,alphabet,income-statement,A,03-16-2020
SG&A Expenses,2017-12-31,19733.00000,GOOGL,alphabet,income-statement,A,03-16-2020
SG&A Expenses,2016-12-31,17470.00000,GOOGL,alphabet,income-statement,A,03-16-2020
SG&A Expenses,2015-12-31,15183.00000,GOOGL,alphabet,income-statement,A,03-16-2020
SG&A Expenses,2014-12-31,13982.00000,GOOGL,alphabet,income-statement,A,03-16-2020
SG&A Expenses,2013-12-31,10986.00000,GOOGL,alphabet,income-statement,A,03-16-2020
SG&A Expenses,2012-12-31,8946.00000,GOOGL,alphabet,income-statement,A,03-16-2020
SG&A Expenses,2011-12-31,7313.00000,GOOGL,alphabet,income-statement,A,03-16-2020
SG&A Expenses,2010-12-31,4761.00000,GOOGL,alphabet,income-statement,A,03-16-2020
SG&A Expenses,2009-12-31,3652.00000,GOOGL,alphabet,income-statement,A,03-16-2020
SG&A Expenses,2008-12-31,3749.00000,GOOGL,alphabet,income-statement,A,03-16-2020
SG&A Expenses,2007-12-31,2740.51600,GOOGL,alphabet,income-statement,A,03-16-2020
SG&A Expenses,2006-12-31,1601.30500,GOOGL,alphabet,income-statement,A,03-16-2020
SG&A Expenses,2005-12-31,854.68400,GOOGL,alphabet,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2019-12-31,-1697.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2018-12-31,-5071.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2017-12-31,-2736.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2016-12-31,0.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2015-12-31,0.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2014-12-31,,GOOGL,alphabet,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2013-12-31,,GOOGL,alphabet,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2012-12-31,,GOOGL,alphabet,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2011-12-31,-500.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2010-12-31,0.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2009-12-31,0.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2008-12-31,,GOOGL,alphabet,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2007-12-31,,GOOGL,alphabet,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2006-12-31,,GOOGL,alphabet,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2005-12-31,-90.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Expenses,2019-12-31,127626.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Expenses,2018-12-31,109295.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Expenses,2017-12-31,84677.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Expenses,2016-12-31,66556.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Expenses,2015-12-31,55629.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Expenses,2014-12-31,49505.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Expenses,2013-12-31,40116.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Expenses,2012-12-31,32205.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Expenses,2011-12-31,26163.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Expenses,2010-12-31,18940.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Expenses,2009-12-31,15339.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Expenses,2008-12-31,15164.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Expenses,2007-12-31,11509.59000,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Expenses,2006-12-31,7054.92100,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Expenses,2005-12-31,4121.28200,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Income,2019-12-31,34231.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Income,2018-12-31,27524.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Income,2017-12-31,26178.00000,GOOGL,alphabet,income-statement,A,03-16-2020
Operating Income,2016-12-31,23716.00000,GOOGL,alphabet,income-statement,A,03-16-2020
