parameter,date,value,Ticker,Company,Type,Financial Type,Created Date
Revenue,2019-06-30,125843.00000,MSFT,microsoft,income-statement,A,03-16-2020
Revenue,2018-06-30,110360.00000,MSFT,microsoft,income-statement,A,03-16-2020
Revenue,2017-06-30,96571.00000,MSFT,microsoft,income-statement,A,03-16-2020
Revenue,2016-06-30,91154.00000,MSFT,microsoft,income-statement,A,03-16-2020
Revenue,2015-06-30,93580.00000,MSFT,microsoft,income-statement,A,03-16-2020
Revenue,2014-06-30,86833.00000,MSFT,microsoft,income-statement,A,03-16-2020
Revenue,2013-06-30,77849.00000,MSFT,microsoft,income-statement,A,03-16-2020
Revenue,2012-06-30,73723.00000,MSFT,microsoft,income-statement,A,03-16-2020
Revenue,2011-06-30,69943.00000,MSFT,microsoft,income-statement,A,03-16-2020
Revenue,2010-06-30,62484.00000,MSFT,microsoft,income-statement,A,03-16-2020
Revenue,2009-06-30,58437.00000,MSFT,microsoft,income-statement,A,03-16-2020
Revenue,2008-06-30,60420.00000,MSFT,microsoft,income-statement,A,03-16-2020
Revenue,2007-06-30,51122.00000,MSFT,microsoft,income-statement,A,03-16-2020
Revenue,2006-06-30,44282.00000,MSFT,microsoft,income-statement,A,03-16-2020
Revenue,2005-06-30,39788.00000,MSFT,microsoft,income-statement,A,03-16-2020
Cost Of Goods Sold,2019-06-30,42910.00000,MSFT,microsoft,income-statement,A,03-16-2020
Cost Of Goods Sold,2018-06-30,38353.00000,MSFT,microsoft,income-statement,A,03-16-2020
Cost Of Goods Sold,2017-06-30,34261.00000,MSFT,microsoft,income-statement,A,03-16-2020
Cost Of Goods Sold,2016-06-30,32780.00000,MSFT,microsoft,income-statement,A,03-16-2020
Cost Of Goods Sold,2015-06-30,33038.00000,MSFT,microsoft,income-statement,A,03-16-2020
Cost Of Goods Sold,2014-06-30,27078.00000,MSFT,microsoft,income-statement,A,03-16-2020
Cost Of Goods Sold,2013-06-30,20385.00000,MSFT,microsoft,income-statement,A,03-16-2020
Cost Of Goods Sold,2012-06-30,17530.00000,MSFT,microsoft,income-statement,A,03-16-2020
Cost Of Goods Sold,2011-06-30,15577.00000,MSFT,microsoft,income-statement,A,03-16-2020
Cost Of Goods Sold,2010-06-30,12395.00000,MSFT,microsoft,income-statement,A,03-16-2020
Cost Of Goods Sold,2009-06-30,12155.00000,MSFT,microsoft,income-statement,A,03-16-2020
Cost Of Goods Sold,2008-06-30,11598.00000,MSFT,microsoft,income-statement,A,03-16-2020
Cost Of Goods Sold,2007-06-30,10693.00000,MSFT,microsoft,income-statement,A,03-16-2020
Cost Of Goods Sold,2006-06-30,7650.00000,MSFT,microsoft,income-statement,A,03-16-2020
Cost Of Goods Sold,2005-06-30,6031.00000,MSFT,microsoft,income-statement,A,03-16-2020
Gross Profit,2019-06-30,82933.00000,MSFT,microsoft,income-statement,A,03-16-2020
Gross Profit,2018-06-30,72007.00000,MSFT,microsoft,income-statement,A,03-16-2020
Gross Profit,2017-06-30,62310.00000,MSFT,microsoft,income-statement,A,03-16-2020
Gross Profit,2016-06-30,58374.00000,MSFT,microsoft,income-statement,A,03-16-2020
Gross Profit,2015-06-30,60542.00000,MSFT,microsoft,income-statement,A,03-16-2020
Gross Profit,2014-06-30,59755.00000,MSFT,microsoft,income-statement,A,03-16-2020
Gross Profit,2013-06-30,57464.00000,MSFT,microsoft,income-statement,A,03-16-2020
Gross Profit,2012-06-30,56193.00000,MSFT,microsoft,income-statement,A,03-16-2020
Gross Profit,2011-06-30,54366.00000,MSFT,microsoft,income-statement,A,03-16-2020
Gross Profit,2010-06-30,50089.00000,MSFT,microsoft,income-statement,A,03-16-2020
Gross Profit,2009-06-30,46282.00000,MSFT,microsoft,income-statement,A,03-16-2020
Gross Profit,2008-06-30,48822.00000,MSFT,microsoft,income-statement,A,03-16-2020
Gross Profit,2007-06-30,40429.00000,MSFT,microsoft,income-statement,A,03-16-2020
Gross Profit,2006-06-30,36632.00000,MSFT,microsoft,income-statement,A,03-16-2020
Gross Profit,2005-06-30,33757.00000,MSFT,microsoft,income-statement,A,03-16-2020
Research And Development Expenses,2019-06-30,16876.00000,MSFT,microsoft,income-statement,A,03-16-2020
Research And Development Expenses,2018-06-30,14726.00000,MSFT,microsoft,income-statement,A,03-16-2020
Research And Development Expenses,2017-06-30,13037.00000,MSFT,microsoft,income-statement,A,03-16-2020
Research And Development Expenses,2016-06-30,11988.00000,MSFT,microsoft,income-statement,A,03-16-2020
Research And Development Expenses,2015-06-30,12046.00000,MSFT,microsoft,income-statement,A,03-16-2020
Research And Development Expenses,2014-06-30,11381.00000,MSFT,microsoft,income-statement,A,03-16-2020
Research And Development Expenses,2013-06-30,10411.00000,MSFT,microsoft,income-statement,A,03-16-2020
Research And Development Expenses,2012-06-30,9811.00000,MSFT,microsoft,income-statement,A,03-16-2020
Research And Development Expenses,2011-06-30,9043.00000,MSFT,microsoft,income-statement,A,03-16-2020
Research And Development Expenses,2010-06-30,8714.00000,MSFT,microsoft,income-statement,A,03-16-2020
Research And Development Expenses,2009-06-30,9010.00000,MSFT,microsoft,income-statement,A,03-16-2020
Research And Development Expenses,2008-06-30,8164.00000,MSFT,microsoft,income-statement,A,03-16-2020
Research And Development Expenses,2007-06-30,7121.00000,MSFT,microsoft,income-statement,A,03-16-2020
Research And Development Expenses,2006-06-30,6584.00000,MSFT,microsoft,income-statement,A,03-16-2020
Research And Development Expenses,2005-06-30,6097.00000,MSFT,microsoft,income-statement,A,03-16-2020
SG&A Expenses,2019-06-30,23098.00000,MSFT,microsoft,income-statement,A,03-16-2020
SG&A Expenses,2018-06-30,22223.00000,MSFT,microsoft,income-statement,A,03-16-2020
SG&A Expenses,2017-06-30,19942.00000,MSFT,microsoft,income-statement,A,03-16-2020
SG&A Expenses,2016-06-30,19198.00000,MSFT,microsoft,income-statement,A,03-16-2020
SG&A Expenses,2015-06-30,20324.00000,MSFT,microsoft,income-statement,A,03-16-2020
SG&A Expenses,2014-06-30,20488.00000,MSFT,microsoft,income-statement,A,03-16-2020
SG&A Expenses,2013-06-30,20289.00000,MSFT,microsoft,income-statement,A,03-16-2020
SG&A Expenses,2012-06-30,18426.00000,MSFT,microsoft,income-statement,A,03-16-2020
SG&A Expenses,2011-06-30,18162.00000,MSFT,microsoft,income-statement,A,03-16-2020
SG&A Expenses,2010-06-30,17277.00000,MSFT,microsoft,income-statement,A,03-16-2020
SG&A Expenses,2009-06-30,16909.00000,MSFT,microsoft,income-statement,A,03-16-2020
SG&A Expenses,2008-06-30,18387.00000,MSFT,microsoft,income-statement,A,03-16-2020
SG&A Expenses,2007-06-30,14870.00000,MSFT,microsoft,income-statement,A,03-16-2020
SG&A Expenses,2006-06-30,13576.00000,MSFT,microsoft,income-statement,A,03-16-2020
SG&A Expenses,2005-06-30,13099.00000,MSFT,microsoft,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2019-06-30,,MSFT,microsoft,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2018-06-30,,MSFT,microsoft,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2017-06-30,,MSFT,microsoft,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2016-06-30,,MSFT,microsoft,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2015-06-30,,MSFT,microsoft,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2014-06-30,,MSFT,microsoft,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2013-06-30,,MSFT,microsoft,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2012-06-30,,MSFT,microsoft,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2011-06-30,,MSFT,microsoft,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2010-06-30,,MSFT,microsoft,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2009-06-30,,MSFT,microsoft,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2008-06-30,,MSFT,microsoft,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2007-06-30,,MSFT,microsoft,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2006-06-30,,MSFT,microsoft,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2005-06-30,,MSFT,microsoft,income-statement,A,03-16-2020
Operating Expenses,2019-06-30,82884.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Expenses,2018-06-30,75302.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Expenses,2017-06-30,67546.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Expenses,2016-06-30,65076.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Expenses,2015-06-30,75419.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Expenses,2014-06-30,59074.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Expenses,2013-06-30,51085.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Expenses,2012-06-30,51960.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Expenses,2011-06-30,42782.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Expenses,2010-06-30,38386.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Expenses,2009-06-30,38074.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Expenses,2008-06-30,38149.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Expenses,2007-06-30,32684.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Expenses,2006-06-30,27810.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Expenses,2005-06-30,25227.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Income,2019-06-30,42959.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Income,2018-06-30,35058.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Income,2017-06-30,29025.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Income,2016-06-30,26078.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Income,2015-06-30,18161.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Income,2014-06-30,27759.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Income,2013-06-30,26764.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Income,2012-06-30,21763.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Income,2011-06-30,27161.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Income,2010-06-30,24098.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Income,2009-06-30,20363.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Income,2008-06-30,22271.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Income,2007-06-30,18438.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Income,2006-06-30,16472.00000,MSFT,microsoft,income-statement,A,03-16-2020
Operating Income,2005-06-30,14561.00000,MSFT,microsoft,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2019-06-30,729.00000,MSFT,microsoft,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2018-06-30,1416.00000,MSFT,microsoft,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2017-06-30,876.00000,MSFT,microsoft,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2016-06-30,-439.00000,MSFT,microsoft,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2015-06-30,346.00000,MSFT,microsoft,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2014-06-30,61.00000,MSFT,microsoft,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2013-06-30,288.00000,MSFT,microsoft,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2012-06-30,504.00000,MSFT,microsoft,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2011-06-30,910.00000,MSFT,microsoft,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2010-06-30,915.00000,MSFT,microsoft,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2009-06-30,-542.00000,MSFT,microsoft,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2008-06-30,1543.00000,MSFT,microsoft,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2007-06-30,1663.00000,MSFT,microsoft,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2006-06-30,1790.00000,MSFT,microsoft,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2005-06-30,2067.00000,MSFT,microsoft,income-statement,A,03-16-2020
Pre-Tax Income,2019-06-30,43688.00000,MSFT,microsoft,income-statement,A,03-16-2020
Pre-Tax Income,2018-06-30,36474.00000,MSFT,microsoft,income-statement,A,03-16-2020
Pre-Tax Income,2017-06-30,29901.00000,MSFT,microsoft,income-statement,A,03-16-2020
